---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.FileName = "..\..\bergmann_validation\Tmp\1H2R_150811_2_100_labelled_cropped-euler-leftlegtd.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesShortenOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SubTalarEversion
 4.800000000000000e+000  3.366058761426991e-001  9.896020119571625e-002 -1.052649978906911e-001  1.089440499784720e+000  1.266905944755717e-001 -1.198378726478215e-001
 4.808333333333334e+000  3.468489879128678e-001  9.456141793868955e-002 -1.017035674893253e-001  1.058307538736909e+000  1.425139597255715e-001 -1.292658462634233e-001
 4.816666666666666e+000  3.563289609748598e-001  9.016874930710794e-002 -9.848049467297163e-002  1.024379306512018e+000  1.568633661487544e-001 -1.387246248132087e-001
 4.825000000000000e+000  3.650733492916393e-001  8.576242459991490e-002 -9.572867531709045e-002  9.874464223273466e-001  1.697443852917025e-001 -1.478554073118178e-001
 4.833333333333333e+000  3.730232090747192e-001  8.136545051959243e-002 -9.358844664891053e-002  9.475611534211008e-001  1.810405731517360e-001 -1.562342983917699e-001
 4.841666666666667e+000  3.800910252393984e-001  7.703927758666995e-002 -9.216475531131953e-002  9.048651847518289e-001  1.905290107998415e-001 -1.634952500086292e-001
 4.850000000000000e+000  3.862331108123011e-001  7.284012821082087e-002 -9.153805174669535e-002  8.594769175850733e-001  1.981059568371014e-001 -1.693062131652337e-001
 4.858333333333333e+000  3.914196257774227e-001  6.883733241242762e-002 -9.175217426390994e-002  8.115300885915212e-001  2.037012442767490e-001 -1.733894784095023e-001
 4.866666666666666e+000  3.956303410068642e-001  6.511894962697995e-002 -9.280574989838575e-002  7.611845813887781e-001  2.072618722472101e-001 -1.755298612104199e-001
 4.875000000000000e+000  3.988520214074326e-001  6.179538156792153e-002 -9.464176870300431e-002  7.086427562276623e-001  2.087418894709411e-001 -1.755844369117902e-001
 4.883333333333333e+000  4.010769271533315e-001  5.899777255958849e-002 -9.713564033661240e-002  6.541708173415851e-001  2.081018458035666e-001 -1.734974503336545e-001
 4.891666666666667e+000  4.023046318279795e-001  5.686934860130388e-002 -1.000841067861772e-001  5.981246753406171e-001  2.053205269671756e-001 -1.693213395787748e-001
 4.900000000000000e+000  4.025494113748805e-001  5.554868529877099e-002 -1.031988564466883e-001  5.409777013421216e-001  2.004188908616966e-001 -1.632406986182034e-001
 4.908333333333333e+000  4.018516120698480e-001  5.514437160233032e-002 -1.061106211981597e-001  4.833446647038051e-001  1.934925878892870e-001 -1.555913172483423e-001
 4.916666666666666e+000  4.002888790246852e-001  5.570302297845964e-002 -1.083930280308873e-001  4.259941587630678e-001  1.847463593570174e-001 -1.468595276280378e-001
 4.925000000000000e+000  3.979849405624411e-001  5.717791224376811e-002 -1.096160172600142e-001  3.698417261768307e-001  1.745198680034751e-001 -1.376421115447779e-001
 4.933333333333334e+000  3.951129527326638e-001  5.942048852508663e-002 -1.094140535142299e-001  3.159124845054965e-001  1.633007020734085e-001 -1.285321389899317e-001
 4.941666666666666e+000  3.919095257639614e-001  6.215039153392166e-002 -1.076367682678067e-001  2.653114971350130e-001  1.516561918865111e-001 -1.200852291376738e-001
 4.950000000000000e+000  3.886384997161780e-001  6.505156296224346e-002 -1.043185738856540e-001  2.191129065963081e-001  1.402415628573732e-001 -1.125690134771444e-001
 4.958333333333333e+000  3.855891551808452e-001  6.779045103946357e-002 -9.973710293353841e-002  1.783063625868717e-001  1.296757185246856e-001 -1.059962693919117e-001
 4.966666666666667e+000  3.830337922924367e-001  7.008189417885391e-002 -9.432687914408164e-002  1.437128291575871e-001  1.204769654357749e-001 -1.001382008215236e-001
 4.975000000000000e+000  3.811883307230718e-001  7.172431305210814e-002 -8.857877737618018e-002  1.159198993329635e-001  1.130004769236541e-001 -9.461725602451253e-002
 4.983333333333333e+000  3.801809613276556e-001  7.260841254513584e-002 -8.295233889618495e-002  9.523732470068380e-002  1.074012442461385e-001 -8.900877893701861e-002
 4.991666666666666e+000  3.800364646914634e-001  7.270520423752380e-002 -7.782339427746253e-002  8.167619710878228e-002  1.036241754068079e-001 -8.291763287492239e-002
 5.000000000000000e+000  3.806766350563223e-001  7.204286764008017e-002 -7.346446796687185e-002  7.495071222060692e-002  1.014165545539691e-001 -7.602407663577374e-002
 5.008333333333333e+000  3.819323457194732e-001  7.068059715701303e-002 -7.004471397010198e-002  7.449928362254499e-002  1.003578575790798e-001 -6.810726801148302e-002
 5.016666666666667e+000  3.835375097811665e-001  6.867194338160232e-002 -6.764837147243813e-002  7.952001110707493e-002  9.990671808598517e-002 -5.906579578029735e-002
 5.025000000000000e+000  3.852541513344172e-001  6.609617370861409e-002 -6.624802868687332e-002  8.903910197482699e-002  9.945528895119934e-002 -4.886425261866669e-002
 5.033333333333333e+000  3.867553513772875e-001  6.297056689791059e-002 -6.578291049949503e-002  1.019712728581856e-001  9.841509933955005e-002 -3.759367590799500e-002
 5.041666666666666e+000  3.877582951779148e-001  5.929671768200873e-002 -6.614166915050188e-002  1.172248241180283e-001  9.629959398662416e-002 -2.539730726753879e-002
 5.050000000000000e+000  3.880581966131269e-001  5.506484816652701e-002 -6.719100271541455e-002  1.338081232690592e-001  9.281459957756980e-002 -1.245871256637682e-002
 5.058333333333334e+000  3.874533883182771e-001  5.021516618418742e-002 -6.883643790876638e-002  1.509122290224373e-001  8.794137764948104e-002  9.814195405469497e-004
 5.066666666666666e+000  3.859025059603802e-001  4.472373113304973e-002 -7.097733377570838e-002  1.679894785372728e-001  8.193339281408427e-002  1.468007523158407e-002
 5.075000000000000e+000  3.834152564987986e-001  3.856238053835415e-002 -7.353185794130458e-002  1.847328795623477e-001  7.527258780561549e-002  2.836966721283576e-002
 5.083333333333333e+000  3.800556617560982e-001  3.171731577355463e-002 -7.640398260647346e-002  2.010158681591313e-001  6.857124850830966e-002  4.177055621859026e-002
 5.091666666666667e+000  3.759141469050978e-001  2.419146839576070e-002 -7.946878113304734e-002  2.168061917317336e-001  6.247183477925429e-002  5.459754071573802e-002
 5.100000000000000e+000  3.710809119376324e-001  1.600309747584405e-002 -8.257890945590926e-002  2.320929603623325e-001  5.755706352412910e-002  6.657740028291140e-002
 5.108333333333333e+000  3.656268610116921e-001  7.182417382953554e-003 -8.558596855730159e-002  2.468423239040440e-001  5.428420615827162e-002  7.747489795014989e-002
 5.116666666666666e+000  3.595945009857882e-001 -2.231040706513809e-003 -8.836275779376031e-002  2.609782682169567e-001  5.295669153550842e-002  8.711760657607857e-002
 5.125000000000000e+000  3.529967993001093e-001 -1.218814910208188e-002 -9.081754972803575e-002  2.743793230807162e-001  5.372567399908444e-002  9.541085280460152e-002
 5.133333333333333e+000  3.458210037925476e-001 -2.262653251970903e-002 -9.289944028371205e-002  2.868867213998763e-001  5.660439059876475e-002  1.023374228357786e-001
 5.141666666666667e+000  3.380362363465842e-001 -3.346525431451908e-002 -9.459737154777471e-002  2.983227042199998e-001  6.148883271669435e-002  1.079420038295863e-001
 5.150000000000000e+000  3.296041277168531e-001 -4.460034617541520e-002 -9.593568006685770e-002  3.085150971483761e-001  6.818481210206423e-002  1.123064256266371e-001
 5.158333333333333e+000  3.204902573206634e-001 -5.590304224820053e-002 -9.696822258723413e-002  3.173213979448458e-001  7.643755846232947e-002  1.155255137999366e-001
