---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.FileName = "..\..\bergmann_validation\Tmp\1H2R_150811_2_100_labelled_cropped-euler-trunk.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnNamesShortenOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxFlexion
col11  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending
col12  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxRotation
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxRotation
 4.800000000000000e+000  2.235030813387664e-001 -5.023992106615279e-001  9.647449394306110e-001  1.504932237753833e+000 -1.486600314601787e-001  1.634974107063701e+000 -3.066833316196502e-001  1.154808402441109e-001 -5.882348022794361e-002  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.808333333333334e+000  2.235299543334149e-001 -4.942822865253105e-001  9.651568331870064e-001  1.507366388094242e+000 -1.478092862659104e-001  1.629799502977024e+000 -3.058154346412201e-001  1.112210994441564e-001 -5.258660780896626e-002  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.816666666666666e+000  2.235563447975022e-001 -4.859643474276516e-001  9.655012687767580e-001  1.509797975324458e+000 -1.468840897936758e-001  1.624607010982122e+000 -3.048822860199832e-001  1.069181233412743e-001 -4.632374718406944e-002  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.825000000000000e+000  2.235825275857512e-001 -4.774451734869303e-001  9.657701001142052e-001  1.512199317953410e+000 -1.457881462034942e-001  1.619459598778438e+000 -3.037899850066684e-001  1.026061120090781e-001 -4.010663586599604e-002  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.833333333333333e+000  2.236086428301789e-001 -4.687824714541609e-001  9.659545594011892e-001  1.514525099497966e+000 -1.444466893005787e-001  1.614448923960835e+000 -3.024667578449937e-001  9.834869659392891e-002 -3.404115331614076e-002  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.841666666666667e+000  2.236342480059220e-001 -4.600341044276788e-001  9.660471854029892e-001  1.516718969408582e+000 -1.428271554012297e-001  1.609643090009442e+000 -3.008818398746063e-001  9.422355341789013e-002 -2.819961622045882e-002  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.850000000000000e+000  2.236597149527613e-001 -4.512403398173439e-001  9.660437320783595e-001  1.518733031453574e+000 -1.408917266008567e-001  1.605101375295109e+000 -2.989989522421623e-001  9.029378069246867e-002 -2.264520180409292e-002  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.858333333333333e+000  2.236853780791932e-001 -4.424305179802740e-001  9.659416756519207e-001  1.520520788514687e+000 -1.386141436520294e-001  1.600867904306613e+000 -2.967930783292076e-001  8.661890628797686e-002 -1.742251714706472e-002  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.866666666666666e+000  2.237111696877690e-001 -4.336241008400401e-001  9.657392310845079e-001  1.522033817425723e+000 -1.359829264106338e-001  1.596969795294785e+000 -2.942541454400611e-001  8.325979827652051e-002 -1.255459487900808e-002  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.875000000000000e+000  2.237362614529847e-001 -4.248319899567986e-001  9.654344483415634e-001  1.523218621115544e+000 -1.330053613035731e-001  1.593415651338615e+000 -2.913918878690339e-001  8.028326070255054e-002 -8.040290326621272e-003  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.883333333333333e+000  2.237587027845889e-001 -4.160580203147974e-001  9.650245695998994e-001  1.524015749543124e+000 -1.297126851393040e-001  1.590194740017650e+000 -2.882424834643374e-001  7.776374048895179e-002 -3.853361438101487e-003  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.891666666666667e+000  2.237750767713070e-001 -4.073003765418489e-001  9.645057641617837e-001  1.524361995627962e+000 -1.261641862712317e-001  1.587277319260529e+000 -2.848735726719984e-001  7.578122005189673e-002  5.587486766239523e-005  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
 4.900000000000000e+000  2.237801994444888e-001 -3.985527055439987e-001  9.638734061936923e-001  1.524196301332585e+000 -1.224469553027858e-001  1.584615842723847e+000 -2.813829969204115e-001  7.441452846028125e-002  3.756600938078096e-003  0.000000000000000e+000  0.000000000000000e+000  0.000000000000000e+000
