---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.UpdData = 3
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.FileName = "..\..\bergmann_validation\Tmp\H2R_150811_2_100_labelled_cropped-euler-trunk.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnIDString = "col"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxFlexion
col11  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending
col12  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxRotation
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxRotation
5.325000000000000e+000 1.999510365858872e-001 6.936120668302294e-002 9.642383809219257e-001 1.582215548069647e+000 1.079029373563571e-001 1.573605626703397e+000 -1.549408375423581e-001 -6.123337286441879e-003 -1.177536209389224e-001 0.000000000000000e+000 0.000000000000000e+000 -5.551115123125782e-017
5.333333333333334e+000 2.001388902041990e-001 7.770354951565156e-002 9.648186159683579e-001 1.579102740900180e+000 1.078755916178471e-001 1.581906057921772e+000 -1.549921153050835e-001 8.130997711202713e-004 -1.277833689791601e-001 5.551115123125783e-017 -5.551115123125783e-017 1.110223024625157e-016
5.341666666666667e+000 2.003719966657839e-001 8.606153651448882e-002 9.653016577251199e-001 1.576126267437962e+000 1.080342237488103e-001 1.590197604447510e+000 -1.548324765706365e-001 7.527971000408427e-003 -1.377428741790597e-001 -1.110223024625157e-016 -5.551115123125783e-017 0.000000000000000e+000
5.350000000000001e+000 2.006494654606991e-001 9.443903692650209e-002 9.656785950728356e-001 1.573369026983746e+000 1.084001859942734e-001 1.598427316199584e+000 -1.544254707110401e-001 1.390860806457865e-002 -1.475917795099130e-001 0.000000000000000e+000 0.000000000000000e+000 -5.551115123125783e-017
5.358333333333333e+000 2.009697431627321e-001 1.028393944027206e-001 9.659413804582008e-001 1.570909305814737e+000 1.089849472138811e-001 1.606542579211560e+000 -1.537481085839534e-001 1.985097800513083e-002 -1.572867020191293e-001 -1.665334536937735e-016 0.000000000000000e+000 -5.551115123125783e-017
5.366666666666667e+000 2.013306386625637e-001 1.112657113344930e-001 9.660829863610914e-001 1.568818744481574e+000 1.097904083798302e-001 1.614491300992546e+000 -1.527901523095667e-001 2.526199646517174e-002 -1.667816598925853e-001 -5.551115123125782e-017 -1.110223024625156e-016 -1.110223024625156e-016
5.375000000000000e+000 2.017295604956623e-001 1.197211088341197e-001 9.660974875344663e-001 1.567159821420207e+000 1.108101653657483e-001 1.622224325778453e+000 -1.515523697369186e-001 3.006255742266343e-002 -1.760306791110799e-001 -5.551115123125782e-017 0.000000000000000e+000 0.000000000000000e+000
5.383333333333334e+000 2.021639325280351e-001 1.282088663838276e-001 9.659800952554012e-001 1.565983452938825e+000 1.120300223310566e-001 1.629699781786108e+000 -1.500457889930018e-001 3.419027799703673e-002 -1.849921543514533e-001 5.551115123125783e-017 -5.551115123125783e-017 -2.220446049250313e-016
5.391666666666667e+000 2.026316339344372e-001 1.367325468453904e-001 9.657271805718061e-001 1.565327396275141e+000 1.134280048704988e-001 1.636887088863057e+000 -1.482912038406957e-001 3.760077083103671e-002 -1.936327382792018e-001 1.110223024625157e-016 1.110223024625157e-016 1.665334536937735e-016
5.400000000000000e+000 2.031313152376019e-001 1.452960131502505e-001 9.653362772843729e-001 1.565215975031371e+000 1.149763852172137e-001 1.643769790882218e+000 -1.463165090000507e-001 4.026727210147792e-002 -2.019293525142062e-001 1.110223024625156e-016 -5.551115123125782e-017 5.551115123125782e-017
5.408333333333333e+000 2.036627455207428e-001 1.539040156945188e-001 9.648061442085378e-001 1.565658947318526e+000 1.166402865297211e-001 1.650346167297853e+000 -1.441570638631373e-001 4.218051204375974e-002 -2.098699412820406e-001 5.551115123125783e-017 1.110223024625157e-016 -5.551115123125783e-017
5.416666666666667e+000 2.042268048616787e-001 1.625614435340139e-001 9.641366430464066e-001 1.566655446969128e+000 1.183847745906632e-001 1.656629679967421e+000 -1.418491055345034e-001 4.334437389876288e-002 -2.174540622268344e-001 -1.110223024625156e-016 5.551115123125780e-017 0.000000000000000e+000
5.425000000000000e+000 2.048257077748381e-001 1.712738567481978e-001 9.633288504128141e-001 1.568193631549207e+000 1.201725950953481e-001 1.662645186458929e+000 -1.394305232760217e-001 4.377474625514462e-002 -2.246929500728844e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
5.433333333333334e+000 2.054629660948091e-001 1.800471326721871e-001 9.623852058376652e-001 1.570250906301533e+000 1.219673184571910e-001 1.668424969726054e+000 -1.369371537232641e-001 4.349877542184764e-002 -2.316074201476526e-001 0.000000000000000e+000 0.000000000000000e+000 -5.551115123125783e-017
5.441666666666666e+000 2.061430983378173e-001 1.888869935812431e-001 9.613098955830706e-001 1.572792166795797e+000 1.237356091883992e-001 1.674004054622819e+000 -1.344010706702728e-001 4.255690677968995e-002 -2.382234157459796e-001 1.110223024625156e-016 5.551115123125782e-017 2.220446049250313e-016
