---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.UpdData = 3
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.FileName = "..\..\bergmann_validation\Tmp\H2R_150811_2_100_labelled_cropped-euler-rightlegtd.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SubTalarEversion
5.375000000000000e+000 5.391949356588829e-001 3.843499429712782e-002 -1.265169945343486e-002 9.079036279322329e-001 -4.416746882601257e-002 5.613149547859649e-002
5.383333333333334e+000 5.450442280881900e-001 3.934354610978108e-002 -6.509670456296768e-003 8.640775368952377e-001 -5.152405171935888e-002 6.008756081812673e-002
5.391666666666667e+000 5.496163863916546e-001 4.074187225727211e-002 -7.441619850588868e-004 8.174910351133697e-001 -5.792648484204845e-002 6.238233455449608e-002
5.400000000000000e+000 5.529176134665230e-001 4.263829590960966e-002 4.706689707950360e-003 7.683647400051595e-001 -6.341013149431249e-002 6.293784488211944e-002
5.408333333333333e+000 5.549585458199264e-001 4.502875638281045e-002 9.934867857991209e-003 7.169499611840697e-001 -6.797353015918500e-002 6.164687003109823e-002
5.416666666666667e+000 5.557725122864390e-001 4.790029635751392e-002 1.505503516001482e-002 6.635539626747300e-001 -7.156117706198001e-002 5.837927456532398e-002
5.425000000000000e+000 5.554162570401514e-001 5.122507033182622e-002 2.019098656343404e-002 6.085535765970228e-001 -7.407669791032780e-002 5.302098006686846e-002
5.433333333333334e+000 5.539813656742207e-001 5.495666140966282e-002 2.545559085722027e-002 5.524174116324775e-001 -7.539661479833897e-002 4.550751020090767e-002
5.441666666666666e+000 5.516022267401041e-001 5.902574144894168e-002 3.092505782349218e-002 4.957223245388772e-001 -7.539625877079610e-002 3.586759559323598e-002
5.450000000000000e+000 5.484693718819189e-001 6.334234445027231e-002 3.661090566899978e-002 4.391702136280515e-001 -7.397170176371203e-002 2.425581259471503e-002
5.458333333333333e+000 5.448196485985858e-001 6.779297181599553e-002 4.243885650742421e-002 3.835745654721605e-001 -7.108783427633862e-002 1.100860492128917e-002
5.466666666666667e+000 5.409338356777690e-001 7.224916642792323e-002 4.824718788365714e-002 3.298444782987268e-001 -6.680654147497557e-002 -3.349505516729512e-003
5.475000000000001e+000 5.371148556990862e-001 7.657518364220950e-002 5.381506981300465e-002 2.789402203613898e-001 -6.131452860264383e-002 -1.812708667855882e-002
5.483333333333333e+000 5.336583336724344e-001 8.063660619264357e-002 5.892112161821400e-002 2.318148491227294e-001 -5.492444055527538e-002 -3.253762214214196e-002
5.491666666666667e+000 5.308209830122785e-001 8.430538343622418e-002 6.341391893485585e-002 1.893511035150163e-001 -4.804412952521182e-002 -4.580650721512291e-002
5.500000000000000e+000 5.287967944607412e-001 8.746131383881495e-002 6.726051159780246e-002 1.523055010439977e-001 -4.111970755752623e-002 -5.728177363973838e-002
5.508333333333334e+000 5.277068013823306e-001 8.999462025673966e-002 7.054730631872905e-002 1.212662730312386e-001 -3.456812132211425e-002 -6.651262722263165e-002
5.516666666666667e+000 5.276007385235531e-001 9.181366654448486e-002 7.343758477253727e-002 9.662529207762861e-002 -2.871682604600549e-002 -7.327757426948697e-002
5.525000000000000e+000 5.284652611139261e-001 9.285643690035084e-002 7.611181708359467e-002 7.856231078252539e-002 -2.376208200400783e-002 -7.756949252034044e-002
5.533333333333333e+000 5.302337599145475e-001 9.310037877090949e-002 7.871605552495335e-002 6.704043438789975e-002 -1.974945230849026e-002 -7.955775693058817e-002
5.541666666666667e+000 5.327942853532233e-001 9.256555348641005e-002 8.133240861242452e-002 6.181073220353332e-002 -1.657524465527361e-002 -7.954359452475478e-002
