---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.FileName = "..\..\bergmann_validation\Tmp\0H2R_150811_2_100_labelled_cropped-euler-rightlegtd.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ColumnNamesShortenOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SubTalarEversion
 4.800000000000000e+000 -8.013126321099427e-003 -1.376585727912874e-001 -7.960221797504112e-002  2.449515914385416e-001  2.796202502776374e-001 -1.314743030126731e-001
 4.808333333333334e+000 -2.197835391433090e-002 -1.354267983847093e-001 -8.259378515582762e-002  2.357142696829626e-001  2.849613625864633e-001 -1.254832219495812e-001
 4.816666666666666e+000 -3.619504424421136e-002 -1.330635327445255e-001 -8.558171873439441e-002  2.262722340464156e-001  2.902452719163365e-001 -1.194600348159725e-001
 4.825000000000000e+000 -5.051316459347856e-002 -1.306039779320036e-001 -8.857560138594925e-002  2.167110253134195e-001  2.954758302611771e-001 -1.135285545643728e-001
 4.833333333333333e+000 -6.470282177989065e-002 -1.281058590856381e-001 -9.156390929223261e-002  2.071785558517593e-001  3.006279763973498e-001 -1.078413117917382e-001
 4.841666666666667e+000 -7.859601128290231e-002 -1.256428934453373e-001 -9.453658768832095e-002  1.977939451813611e-001  3.056819767133749e-001 -1.025159425986436e-001
 4.850000000000000e+000 -9.204920609005463e-002 -1.232850563114327e-001 -9.748678925069347e-002  1.886608885417617e-001  3.106356208370505e-001 -9.765363284476310e-002
 4.858333333333333e+000 -1.049541332552457e-001 -1.211025224763356e-001 -1.004071361793911e-001  1.798669119874991e-001  3.154982159852466e-001 -9.331891370769141e-002
 4.866666666666666e+000 -1.172386511806081e-001 -1.191671410644783e-001 -1.032891214870130e-001  1.714867233921573e-001  3.202871928223173e-001 -8.953521866178411e-002
 4.875000000000000e+000 -1.288678974295592e-001 -1.175538810325998e-001 -1.061232579107806e-001  1.635854595345186e-001  3.250227822419926e-001 -8.628602973742418e-002
 4.883333333333333e+000 -1.398465828289700e-001 -1.163397580225782e-001 -1.088993074524563e-001  1.562209562378185e-001  3.297229189940146e-001 -8.351648479372920e-002
 4.891666666666667e+000 -1.502200433777098e-001 -1.155996586389394e-001 -1.116068628530208e-001  1.494459921475205e-001  3.344003927297709e-001 -8.113562783482044e-002
 4.900000000000000e+000 -1.600703288890213e-001 -1.153986760483949e-001 -1.142374206111128e-001  1.433115660418467e-001  3.390626805867651e-001 -7.902115692852720e-002
 4.908333333333333e+000 -1.695064264223110e-001 -1.157797299015413e-001 -1.167873509263243e-001  1.378707060996981e-001  3.437128268611706e-001 -7.702623989649303e-002
 4.916666666666666e+000 -1.786495341709697e-001 -1.167468853449527e-001 -1.192595265250585e-001  1.331823620609990e-001  3.483494717901099e-001 -7.498838436636632e-002
 4.925000000000000e+000 -1.876124899422024e-001 -1.182483495239504e-001 -1.216615999340213e-001  1.293164313862465e-001  3.529658098204444e-001 -7.274010101497247e-002
 4.933333333333334e+000 -1.964644456268195e-001 -1.201666474367067e-001 -1.240305174991305e-001  1.263666845409218e-001  3.575504368890801e-001 -7.013462374471616e-002
 4.941666666666666e+000 -2.052415024687049e-001 -1.223182090856909e-001 -1.263057719120060e-001  1.244270719935952e-001  3.620734524508078e-001 -6.699691713409919e-002
